%1. Title of Database: Abalone data
%
%%2. Sources:
%
%   (a) Original owners of database:
%	Marine Resources Division
%	Marine Research Laboratories - Taroona
%	Department of Primary Industry and Fisheries, Tasmania
%	GPO Box 619F, Hobart, Tasmania 7001, Australia
%	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
%
%   (b) Donor of database:
%	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
%	Department of Computer Science, University of Tasmania
%	GPO Box 252C, Hobart, Tasmania 7001, Australia
%
%   (c) Date received: December 1995
%
%
%3. Past Usage:
%
%   Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
%   thesis, Computer Science Department, University of Tasmania.
%
%   -- Test set performance (final 1044 examples, first 3133 used for training):
%	24.86% Cascade-Correlation (no hidden nodes)
%	26.25% Cascade-Correlation (5 hidden nodes)
%	21.5%  C4.5
%	 0.0%  Linear Discriminate Analysis
%	 3.57% k=5 Nearest Neighbour
%      (Problem encoded as a classification task)
%
%   -- Data set samples are highly overlapped.  Further information is required
%	to separate completely using affine combinations.  Other restrictions
%	to data set examined.
%
%   David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
%   Dystal and Backpropagation", submitted to the Australian Conference on
%   Neural Networks (ACNN'96). Data set treated as a 3-category classification
%   problem (grouping ring classes 1-8, 9 and 10, and 11 on).
%
%   -- Test set performance (3133 training, 1044 testing as above):
%	64%    Backprop
%	55%    Dystal
%   -- Previous work (Waugh, 1995) on same data set:
%	61.40% Cascade-Correlation (no hidden nodes)
%	65.61% Cascade-Correlation (5 hidden nodes)
%	59.2%  C4.5
%	32.57% Linear Discriminate Analysis
%	62.46% k=5 Nearest Neighbour
%
%
%4. Relevant Information Paragraph:
%
%   Predicting the age of abalone from physical measurements.  The age of
%   abalone is determined by cutting the shell through the cone, staining it,
%   and counting the number of rings through a microscope -- a boring and
%   time-consuming task.  Other measurements, which are easier to obtain, are
%   used to predict the age.  Further information, such as weather patterns
%   and location (hence food availability) may be required to solve the problem.
%
%   From the original data examples with missing values were removed (the
%   majority having the predicted value missing), and the ranges of the
%   continuous values have been scaled for use with an ANN (by dividing by 200).
%
%   Data comes from an original (non-machine-learning) study:
%
%	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
%	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
%	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
%	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
%	Report No. 48 (ISSN 1034-3288)
%
%
%5. Number of Instances: 4177
%
%
%6. Number of Attributes: 8
%
%
%7. Attribute information:
%
%   Given is the attribute name, attribute type, the measurement unit and a
%   brief description.  The number of rings is the value to predict: either
%   as a continuous value or as a classification problem.
%
%	Name		Data Type	Meas.	Description
%	----		---------	-----	-----------
%	Sex		nominal			M, F, and I (infant)
%	Length		continuous	mm	Longest shell measurement
%	Diameter	continuous	mm	perpendicular to length
%	Height		continuous	mm	with meat in shell
%	Whole weight	continuous	grams	whole abalone
%	Shucked weight	continuous	grams	weight of meat
%	Viscera weight	continuous	grams	gut weight (after bleeding)
%	Shell weight	continuous	grams	after being dried
%	Rings		integer			+1.5 gives the age in years
%
%   Statistics for numeric domains:
%
%		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
%	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
%	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
%	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
%	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
%	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
%
%
%8. Missing Attribute Values: None
%
%
%9. Class Distribution:
%
%	Class	Examples
%	-----	--------
%	1	1
%	2	1
%	3	15
%	4	57
%	5	115
%	6	259
%	7	391
%	8	568
%	9	689
%	10	634
%	11	487
%	12	267
%	13	203
%	14	126
%	15	103
%	16	67
%	17	58
%	18	42
%	19	32
%	20	26
%	21	14
%	22	6
%	23	9
%	24	2
%	25	1
%	26	1
%	27	2
%	29	1
%	-----	----
%	Total	4177
%
%@attribute Rings {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@relation abalone
@attribute Sex {M, F, I}
@attribute Length real
@attribute Diameter real
@attribute Height real
@attribute Whole_weight	real
@attribute Shucked_weight real
@attribute Viscera_weight real
@attribute Shell_weight real
@attribute Rings real
@data
M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,14
F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
I,0.41,0.33,0.105,0.335,0.1525,0.074,0.11,7
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12
M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7
M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
F,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14
F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,8
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10
M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
M,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10
I,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7
I,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6
F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
M,0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,12
M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
I,0.505,0.395,0.105,0.551,0.248,0.103,0.171,8
F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9
M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5
F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
M,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
I,0.435,0.335,0.095,0.298,0.109,0.058,0.115,7
F,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7
F,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,9
I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13
M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9
M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9
I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9
I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6
I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11
M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9
M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
